period,stateid,stateDescription,sectorid,sectorName,customers,customers-units
2024-07,MN,Minnesota,ALL,all sectors,2925018,number of customers
2024-07,MI,Michigan,TRA,transportation,2,number of customers
2024-07,MI,Michigan,RES,residential,4532937,number of customers
2024-07,MI,Michigan,OTH,other,,number of customers
2024-07,MI,Michigan,IND,industrial,5680,number of customers
2024-07,MI,Michigan,COM,commercial,564621,number of customers
2024-07,MI,Michigan,ALL,all sectors,5103240,number of customers
2024-07,MA,Massachusetts,TRA,transportation,2,number of customers
2024-07,MA,Massachusetts,RES,residential,2958603,number of customers
2024-07,MA,Massachusetts,OTH,other,,number of customers
2024-07,MA,Massachusetts,IND,industrial,10121,number of customers
2024-07,MA,Massachusetts,COM,commercial,441314,number of customers
2024-07,MA,Massachusetts,ALL,all sectors,3410040,number of customers
2024-07,MD,Maryland,TRA,transportation,5,number of customers
2024-07,MD,Maryland,RES,residential,2449094,number of customers
2024-07,MD,Maryland,OTH,other,,number of customers
2024-07,MD,Maryland,IND,industrial,9067,number of customers
2024-07,MD,Maryland,COM,commercial,261695,number of customers
2024-07,MD,Maryland,ALL,all sectors,2719861,number of customers
2024-07,ME,Maine,TRA,transportation,0,number of customers
2024-07,ME,Maine,RES,residential,753943,number of customers
2024-07,ME,Maine,OTH,other,,number of customers
2024-07,ME,Maine,IND,industrial,1872,number of customers
2024-07,ME,Maine,COM,commercial,113218,number of customers
2024-07,ME,Maine,ALL,all sectors,869033,number of customers
2024-07,LA,Louisiana,TRA,transportation,1,number of customers
2024-07,LA,Louisiana,RES,residential,2184349,number of customers
2024-07,LA,Louisiana,OTH,other,,number of customers
2024-07,LA,Louisiana,IND,industrial,18458,number of customers
2024-07,LA,Louisiana,COM,commercial,303492,number of customers
2024-07,LA,Louisiana,ALL,all sectors,2506300,number of customers
2024-07,KY,Kentucky,TRA,transportation,0,number of customers
2024-07,KY,Kentucky,RES,residential,2041507,number of customers
2024-07,KY,Kentucky,OTH,other,,number of customers
2024-07,KY,Kentucky,IND,industrial,5331,number of customers
2024-07,KY,Kentucky,COM,commercial,326634,number of customers
2024-07,KY,Kentucky,ALL,all sectors,2373472,number of customers
2024-07,KS,Kansas,TRA,transportation,0,number of customers
2024-07,KS,Kansas,RES,residential,1346946,number of customers
2024-07,KS,Kansas,OTH,other,,number of customers
2024-07,KS,Kansas,IND,industrial,24929,number of customers
2024-07,KS,Kansas,COM,commercial,249974,number of customers
2024-07,KS,Kansas,ALL,all sectors,1621849,number of customers
2024-07,IA,Iowa,TRA,transportation,0,number of customers
2024-07,IA,Iowa,RES,residential,1467845,number of customers
2024-07,IA,Iowa,OTH,other,,number of customers
2024-07,IA,Iowa,IND,industrial,8637,number of customers
2024-07,IA,Iowa,COM,commercial,251565,number of customers
2024-07,IA,Iowa,ALL,all sectors,1728047,number of customers
2024-07,IN,Indiana,TRA,transportation,1,number of customers
2024-07,IN,Indiana,RES,residential,3004038,number of customers
2024-07,IN,Indiana,OTH,other,,number of customers
2024-07,IN,Indiana,IND,industrial,18586,number of customers
2024-07,IN,Indiana,COM,commercial,377065,number of customers
2024-07,IN,Indiana,ALL,all sectors,3399690,number of customers
2024-07,IL,Illinois,TRA,transportation,3,number of customers
2024-07,IL,Illinois,RES,residential,5370114,number of customers
2024-07,IL,Illinois,OTH,other,,number of customers
2024-07,IL,Illinois,IND,industrial,5464,number of customers
2024-07,IL,Illinois,COM,commercial,633194,number of customers
2024-07,IL,Illinois,ALL,all sectors,6008775,number of customers
2024-07,ID,Idaho,TRA,transportation,0,number of customers
2024-07,ID,Idaho,RES,residential,864529,number of customers
2024-07,ID,Idaho,OTH,other,,number of customers
2024-07,ID,Idaho,IND,industrial,29818,number of customers
2024-07,ID,Idaho,COM,commercial,123502,number of customers
2024-07,ID,Idaho,ALL,all sectors,1017849,number of customers
2024-07,HI,Hawaii,TRA,transportation,0,number of customers
2024-07,HI,Hawaii,RES,residential,446321,number of customers
2024-07,HI,Hawaii,OTH,other,,number of customers
2024-07,HI,Hawaii,IND,industrial,816,number of customers
2024-07,HI,Hawaii,COM,commercial,59519,number of customers
2024-07,HI,Hawaii,ALL,all sectors,506656,number of customers
2024-07,GA,Georgia,TRA,transportation,1,number of customers
2024-07,GA,Georgia,RES,residential,4827323,number of customers
2024-07,GA,Georgia,OTH,other,,number of customers
2024-07,GA,Georgia,IND,industrial,24553,number of customers
2024-07,GA,Georgia,COM,commercial,617250,number of customers
2024-07,GA,Georgia,ALL,all sectors,5469127,number of customers
2024-07,FL,Florida,TRA,transportation,2,number of customers
2024-07,FL,Florida,RES,residential,10407926,number of customers
2024-07,FL,Florida,OTH,other,,number of customers
2024-07,FL,Florida,IND,industrial,27293,number of customers
2024-07,FL,Florida,COM,commercial,1297806,number of customers
2024-07,FL,Florida,ALL,all sectors,11733027,number of customers
2024-07,DC,District of Columbia,TRA,transportation,3,number of customers
2024-07,DC,District of Columbia,RES,residential,318839,number of customers
2024-07,DC,District of Columbia,OTH,other,,number of customers
2024-07,DC,District of Columbia,IND,industrial,1,number of customers
2024-07,DC,District of Columbia,COM,commercial,27576,number of customers
2024-07,DC,District of Columbia,ALL,all sectors,346419,number of customers
2024-07,DE,Delaware,TRA,transportation,0,number of customers
2024-07,DE,Delaware,RES,residential,470303,number of customers
2024-07,DE,Delaware,OTH,other,,number of customers
2024-07,DE,Delaware,IND,industrial,741,number of customers
2024-07,DE,Delaware,COM,commercial,60446,number of customers
2024-07,DE,Delaware,ALL,all sectors,531490,number of customers
2024-07,CT,Connecticut,TRA,transportation,3,number of customers
2024-07,CT,Connecticut,RES,residential,1550611,number of customers
2024-07,CT,Connecticut,OTH,other,,number of customers
2024-07,CT,Connecticut,IND,industrial,3837,number of customers
2024-07,CT,Connecticut,COM,commercial,157422,number of customers
2024-07,CT,Connecticut,ALL,all sectors,1711873,number of customers
2024-07,CO,Colorado,TRA,transportation,1,number of customers
2024-07,CO,Colorado,RES,residential,2496728,number of customers
2024-07,CO,Colorado,OTH,other,,number of customers
2024-07,CO,Colorado,IND,industrial,15037,number of customers
2024-07,CO,Colorado,COM,commercial,399259,number of customers
2024-07,CO,Colorado,ALL,all sectors,2911025,number of customers
2024-07,CA,California,TRA,transportation,13,number of customers
2024-07,CA,California,RES,residential,14378303,number of customers
2024-07,CA,California,OTH,other,,number of customers
2024-07,CA,California,IND,industrial,152098,number of customers
